Name,Brand,Coffee_Tea,Brew_Type,Tea_Type,Coffee_Type,Steeping_Time_Min,Steeping_Time_Max,Water_Temp_Min_C,Water_Temp_Max_C,Water_Temp_Min_F,Water_Temp_Max_F,Weight_Oz,Weight_g,Opened,Ingredients
Almond Papaya,Dollar Tea Club,Tea,Loose Leaf,Rooibos,N/A,4,6,100,,212,,0.28,8,FALSE,"Rooibos, papaya pieces, almond pieces, natural flavors"
Berry Merlot,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,3,5,100,,212,,0.28,8,FALSE,"Elderberry, Currant, Hibiscus petals, Black tea, natural flavors"
Birthday Cake,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,2,3,100,,212,,0.28,8,TRUE,"Black tea, candy, calendula petals, sunflower petals, safflower petals, natural flavors"
Black Forest Cake,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,TRUE,"Black tea, pomegranate, cherry stems, moringa, cocoa beans, cranberry, cornflower petals, safflower petals, natural flavors"
Black Vanilla Rose,Diehl Marcus & Co.,Tea,Loose Leaf,Black,N/A,3,5,,,195,212,,,TRUE,"Black Tea, Blackberry Leaves, Stevia Leaves, Rosebuds"
Blueberry Pancakes,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,FALSE,"Black tea, blueberries, maple syrup, cornflower petals, calendula petals, marigold petals, sunflower petals, natural flavors"
Brain-Aid,Dollar Tea Club,Tea,Loose Leaf,Herbal,N/A,4,6,100,,212,,0.28,8,TRUE,"Rosehip, bilberry leaves, tulsi leaves, rosemary, green mate, orange pieces, natural flavors"
Caramel Apple,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,7,100,,212,,0.28,8,FALSE,"Apple, Hibiscus, Rosehip pieces, natural flavors"
Caramel Apple,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,7,100,,212,,0.28,8,FALSE,"Apple, Hibiscus, Rosehip pieces, natural flavors"
Caramel Apple Pie,Piper & Leaf,Tea,Tea Bags,Black,N/A,3.5,,100,,,,,,TRUE,"Ceylon black tea, apples, cinnamon, ginger, orange rind, star anise, licorice, caramel flavor, black pepper"
Caramel Corn,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,2,3,100,,212,,0.28,8,FALSE,"Black tea, popped rice, applie pieces, white chamomile, safflower petals, natural flavors"
Cherry White,Distinctly Tea,Tea,Loose Leaf,White,Light Roast,2,4,N/A,N/A,185,N/A,,100,TRUE,"White tea China Pai My Tan, green tea darjeeling, green tea China Fog, Lung Ching, Jasmine Pearls, cherries, coconut chips, flavor, rosebuds"
Chocolate Strawberry,infuZed tZ,Tea,Loose Leaf,Herbal,N/A,5,10,100,,212,,,25,TRUE,"Apple, Hibiscus, Rosehip, Strawberry, papaya, cocoa, cornflower petals, natural flavors"
Christmas Lights,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,FALSE,"Black tea, candy, cinnamon, clove, jasmine petals, natural flavors"
Citrus Oolong,Mosi,Tea,Loose Leaf,Oolong,N/A,2,4,,,185,,,6,FALSE,"Orange from Himachal Pradesh, Lemon from Andra Pradesh, Mango from Maharashtra, Long Leaf oolong from Darjeeling and Upper Assam"
Citrus Sunset,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,6,100,,212,,0.28,8,TRUE,"Hibiscus, cornflower petals, rosehip, apple, orange pieces, natural flavors"
Columbia Honey,Moon Crater,Coffee,Beans,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,30,FALSE,
Cookies & Cream,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,2,3,100,,212,,0.28,8,FALSE,"Black tea, Sumac berries, cornflower, safflower, red plum petals, natural flavors"
Cranberries & Chocolate,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,4,7,100,,212,,0.28,8,FALSE,"Apple, currants, carob, cocoa, elderberry, hibiscus, pineapple, candy, cranberry, elderflower petals, stevia, natural flavors"
Cranberry Harvest,Dollar Tea Club,Tea,Loose Leaf,Rooibos,N/A,4,6,100,,212,,0.28,8,TRUE,"Rooibos, Rosehip pieces, cranberry pieces, lime leaves, natural flavors"
